Nama,KloroGreen,KloroRedEdge,CaroGreen,CaroRedEdge,Antho
H-1,0.992974411,0.125955434,0.840010448,1.405946123,0.565935676
H-10,0.925955245,0.179269678,0.74794477,1.160642755,0.412697985
H-11,1.012085032,0.212114987,0.730128578,1.157331707,0.427203128
H-12,1.071841306,0.205441359,0.734786373,1.227710619,0.492924246
H-13,1.082865619,0.214420095,0.768332585,1.243762656,0.475430071
H-14,1.088656591,0.216844637,0.759622142,1.24690379,0.487281648
H-15,0.986726824,0.193083626,0.796842368,1.234579386,0.437737018
H-16,0.687137885,0.08822079,0.79614137,1.170233673,0.374092303
H-17,0.915434854,0.170241703,0.809394632,1.225011812,0.41561718
H-18,0.740304839,0.110641778,0.821904063,1.197017918,0.375113855
H-19,0.698196136,0.09354251,0.753597925,1.124914085,0.37131616
H-2,0.953829614,0.175174939,0.81115826,1.252982178,0.441823918
H-20,0.818744153,0.128950484,0.827886539,1.234324917,0.406438379
H-21,0.905264168,0.064709853,0.8364259,1.42722885,0.59080295
H-22,1.130371854,0.085571308,0.891891235,1.640208069,0.748316834
H-23,1.1540135,0.058599911,0.843873432,1.677411897,0.833538465
H-24,1.253092867,0.096058473,0.858126011,1.697799651,0.839673639
H-25,1.238304862,0.102236137,0.902926695,1.716083259,0.813156564
H-26,1.296479438,0.061125193,0.667626532,1.652752918,0.985126385
H-27,1.050620503,0.089760228,0.74727379,1.422643555,0.675369765
H-28,1.014024654,0.090630677,0.741162883,1.383407351,0.642244468
H-29,0.968344219,0.067379229,0.745164775,1.394916508,0.649751732
H-3,1.340943506,0.323875558,0.661899853,1.180551026,0.518651173
H-30,1.032146717,0.110272185,0.696265795,1.312930193,0.616664399
H-31,1.133150179,0.123624818,0.740738764,1.422882901,0.682144137
H-32,0.831462751,0.023180793,0.813836872,1.411708216,0.597871345
H-33,0.817148453,0.048459463,0.660597661,1.227773351,0.567175689
H-34,1.102781166,0.11222768,0.667630625,1.363248204,0.695617579
H-35,1.102256882,0.088303884,0.799290088,1.523855358,0.72456527
H-36,1.109181159,0.123574572,0.689064883,1.342134143,0.65306926
H-37,0.863531158,0.023282948,0.838979025,1.478731567,0.639752541
H-38,1.198310146,0.060602337,0.619266903,1.53523397,0.915967067
H-39,1.063476378,0.107917882,0.700867976,1.355932117,0.655064141
H-4,0.845433468,0.117256619,0.896845435,1.341684748,0.444839313
H-40,0.945781299,0.05669143,0.782683622,1.428970539,0.646286918
H-41,1.068601008,0.058904682,0.65641244,1.426155634,0.769743194
H-42,0.853720587,0.062117097,0.693013932,1.250464359,0.557450427
H-43,1.202571213,0.113072655,0.722114778,1.494706322,0.772591544
H-44,0.828635011,0.026880813,0.751902172,1.356242544,0.604340372
H-45,1.147817221,0.032478226,0.641573331,1.558993148,0.917419816
H-46,0.945119452,0.08965744,0.620821296,1.232766391,0.611945095
H-47,0.629653367,-0.013141008,0.547697098,1.061513847,0.513816749
H-48,1.164613433,0.08212577,0.811192417,1.604811032,0.793618615
H-49,0.851222622,0.017921238,0.839681302,1.471793888,0.632112586
H-50,1.043083858,0.084461727,0.642824341,1.327420533,0.684596191
H-51,1.163754339,0.058847536,0.661446597,1.531949845,0.870503248
H-52,0.877210408,0.064771168,0.697195444,1.276006729,0.578811284
